Event	ID	Name			Wwise Object Path	Notes
	70120664	bombExplode			\Default Work Unit\bombExplode	
	392504123	Missile			\Default Work Unit\Missile	
	463334499	DJump			\Default Work Unit\DJump	
	716258129	morphBomb			\Default Work Unit\morphBomb	
	779278001	Death			\Default Work Unit\Death	
	1190179400	beam			\Default Work Unit\beam	
	1246534283	threat_damage			\Default Work Unit\threat_damage	
	1631926714	energy_low			\Default Work Unit\energy_low	
	1647524372	SMissile			\Default Work Unit\SMissile	
	1727945837	Bomb			\Default Work Unit\Bomb	
	1988175364	threat_warning			\Default Work Unit\threat_warning	
	2026920480	Roll			\Default Work Unit\Roll	
	2549697654	cShoot25			\Default Work Unit\cShoot25	
	2600030409	cShoot75			\Default Work Unit\cShoot75	
	2633585682	cShoot50			\Default Work Unit\cShoot50	
	2892136322	missile_warning			\Default Work Unit\missile_warning	
	3061162274	cShoot100			\Default Work Unit\cShoot100	
	3193947170	Hurt			\Default Work Unit\Hurt	
	3536758464	Powerbomb			\Default Work Unit\Powerbomb	
	3833651337	Jump			\Default Work Unit\Jump	
	4285247397	Charge			\Default Work Unit\Charge	

Game Parameter	ID	Name			Wwise Object Path	Notes
	3673881719	Volume_SFX			\Default Work Unit\Volume_SFX	

Effect plug-ins	ID	Name	Type				Notes
	4286906788	Gentle_Program_Compressor_Minus_20dB_RMS	Wwise Compressor			

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	7830682	missile	D:\documents\WwiseProjects\Samus\.cache\Windows\SFX\missile_0D5756A9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\Gun SFX\missile		20121
	33563201	morph_bomb	D:\documents\WwiseProjects\Samus\.cache\Windows\SFX\morph_bomb_0D5756A9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\Gun SFX\morph_bomb		1549
	35035592	jump	D:\documents\WwiseProjects\Samus\.cache\Windows\SFX\jump_0D5756A9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\Movement SFX\jump		5295
	74131595	threat_warning	D:\documents\WwiseProjects\Samus\.cache\Windows\SFX\threat_warning_0D5756A9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\HUD\threat_warning		3698
	114882551	smissile	D:\documents\WwiseProjects\Samus\.cache\Windows\SFX\smissile_0D5756A9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\Gun SFX\smissile		14908
	117584553	charge_full_shoot	D:\documents\WwiseProjects\Samus\.cache\Windows\SFX\charge_full_shoot_0D5756A9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\Gun SFX\charge_full_shoot		19666
	197519067	hurt1	D:\documents\WwiseProjects\Samus\.cache\Windows\SFX\hurt1_0D5756A9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\Movement SFX\Hurt\hurt1		3997
	234646512	prime_morph_bomb	D:\documents\WwiseProjects\Samus\.cache\Windows\SFX\prime_morph_bomb_0D5756A9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\Gun SFX\prime_morph_bomb		8170
	304426988	charge_loop	D:\documents\WwiseProjects\Samus\.cache\Windows\SFX\charge_loop_78160227.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\Gun SFX\charge test\charge_loop		13069
	332799934	powerbomb	D:\documents\WwiseProjects\Samus\.cache\Windows\SFX\powerbomb_0D5756A9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\Gun SFX\powerbomb		43402
	431272663	roll	D:\documents\WwiseProjects\Samus\.cache\Windows\SFX\roll_0D5756A9.wem		\Actor-Mixer Hierarchy\Default Work Unit\Master Mixer\SFX Mixer\Movement SFX\roll		5722
